"","N_FECHAS","N_DIA_SEMANA","N_DIA_LABORAL"
"1",2014-01-01,"miércoles","Festivo"
"2",2014-01-02,"jueves","Laboral"
"3",2014-01-03,"viernes","Laboral"
"4",2014-01-04,"sábado","Fin de semana"
"5",2014-01-05,"domingo","Fin de semana"
"6",2014-01-06,"lunes","Festivo"
"7",2014-01-07,"martes","Laboral"
"8",2014-01-08,"miércoles","Laboral"
"9",2014-01-09,"jueves","Laboral"
"10",2014-01-10,"viernes","Laboral"
"11",2014-01-11,"sábado","Fin de semana"
"12",2014-01-12,"domingo","Fin de semana"
"13",2014-01-13,"lunes","Laboral"
"14",2014-01-14,"martes","Laboral"
"15",2014-01-15,"miércoles","Laboral"
"16",2014-01-16,"jueves","Laboral"
"17",2014-01-17,"viernes","Laboral"
"18",2014-01-18,"sábado","Fin de semana"
"19",2014-01-19,"domingo","Fin de semana"
"20",2014-01-20,"lunes","Laboral"
"21",2014-01-21,"martes","Laboral"
"22",2014-01-22,"miércoles","Laboral"
"23",2014-01-23,"jueves","Laboral"
"24",2014-01-24,"viernes","Laboral"
"25",2014-01-25,"sábado","Fin de semana"
"26",2014-01-26,"domingo","Fin de semana"
"27",2014-01-27,"lunes","Laboral"
"28",2014-01-28,"martes","Laboral"
"29",2014-01-29,"miércoles","Laboral"
"30",2014-01-30,"jueves","Laboral"
"31",2014-01-31,"viernes","Laboral"
"32",2014-02-01,"sábado","Fin de semana"
"33",2014-02-02,"domingo","Fin de semana"
"34",2014-02-03,"lunes","Laboral"
"35",2014-02-04,"martes","Laboral"
"36",2014-02-05,"miércoles","Laboral"
"37",2014-02-06,"jueves","Laboral"
"38",2014-02-07,"viernes","Laboral"
"39",2014-02-08,"sábado","Fin de semana"
"40",2014-02-09,"domingo","Fin de semana"
"41",2014-02-10,"lunes","Laboral"
"42",2014-02-11,"martes","Laboral"
"43",2014-02-12,"miércoles","Laboral"
"44",2014-02-13,"jueves","Laboral"
"45",2014-02-14,"viernes","Laboral"
"46",2014-02-15,"sábado","Fin de semana"
"47",2014-02-16,"domingo","Fin de semana"
"48",2014-02-17,"lunes","Laboral"
"49",2014-02-18,"martes","Laboral"
"50",2014-02-19,"miércoles","Laboral"
"51",2014-02-20,"jueves","Laboral"
"52",2014-02-21,"viernes","Laboral"
"53",2014-02-22,"sábado","Fin de semana"
"54",2014-02-23,"domingo","Fin de semana"
"55",2014-02-24,"lunes","Laboral"
"56",2014-02-25,"martes","Laboral"
"57",2014-02-26,"miércoles","Laboral"
"58",2014-02-27,"jueves","Laboral"
"59",2014-02-28,"viernes","Laboral"
"60",2014-03-01,"sábado","Fin de semana"
"61",2014-03-02,"domingo","Fin de semana"
"62",2014-03-03,"lunes","Laboral"
"63",2014-03-04,"martes","Laboral"
"64",2014-03-05,"miércoles","Laboral"
"65",2014-03-06,"jueves","Laboral"
"66",2014-03-07,"viernes","Laboral"
"67",2014-03-08,"sábado","Fin de semana"
"68",2014-03-09,"domingo","Fin de semana"
"69",2014-03-10,"lunes","Laboral"
"70",2014-03-11,"martes","Laboral"
"71",2014-03-12,"miércoles","Laboral"
"72",2014-03-13,"jueves","Laboral"
"73",2014-03-14,"viernes","Laboral"
"74",2014-03-15,"sábado","Fin de semana"
"75",2014-03-16,"domingo","Fin de semana"
"76",2014-03-17,"lunes","Laboral"
"77",2014-03-18,"martes","Laboral"
"78",2014-03-19,"miércoles","Laboral"
"79",2014-03-20,"jueves","Laboral"
"80",2014-03-21,"viernes","Laboral"
"81",2014-03-22,"sábado","Fin de semana"
"82",2014-03-23,"domingo","Fin de semana"
"83",2014-03-24,"lunes","Festivo"
"84",2014-03-25,"martes","Laboral"
"85",2014-03-26,"miércoles","Laboral"
"86",2014-03-27,"jueves","Laboral"
"87",2014-03-28,"viernes","Laboral"
"88",2014-03-29,"sábado","Fin de semana"
"89",2014-03-30,"domingo","Fin de semana"
"90",2014-03-31,"lunes","Laboral"
"91",2014-04-01,"martes","Laboral"
"92",2014-04-02,"miércoles","Laboral"
"93",2014-04-03,"jueves","Laboral"
"94",2014-04-04,"viernes","Laboral"
"95",2014-04-05,"sábado","Fin de semana"
"96",2014-04-06,"domingo","Fin de semana"
"97",2014-04-07,"lunes","Laboral"
"98",2014-04-08,"martes","Laboral"
"99",2014-04-09,"miércoles","Laboral"
"100",2014-04-10,"jueves","Laboral"
"101",2014-04-11,"viernes","Laboral"
"102",2014-04-12,"sábado","Fin de semana"
"103",2014-04-13,"domingo","Fin de semana"
"104",2014-04-14,"lunes","Laboral"
"105",2014-04-15,"martes","Laboral"
"106",2014-04-16,"miércoles","Laboral"
"107",2014-04-17,"jueves","Festivo"
"108",2014-04-18,"viernes","Festivo"
"109",2014-04-19,"sábado","Fin de semana"
"110",2014-04-20,"domingo","Fin de semana"
"111",2014-04-21,"lunes","Laboral"
"112",2014-04-22,"martes","Laboral"
"113",2014-04-23,"miércoles","Laboral"
"114",2014-04-24,"jueves","Laboral"
"115",2014-04-25,"viernes","Laboral"
"116",2014-04-26,"sábado","Fin de semana"
"117",2014-04-27,"domingo","Fin de semana"
"118",2014-04-28,"lunes","Laboral"
"119",2014-04-29,"martes","Laboral"
"120",2014-04-30,"miércoles","Laboral"
"121",2014-05-01,"jueves","Festivo"
"122",2014-05-02,"viernes","Laboral"
"123",2014-05-03,"sábado","Fin de semana"
"124",2014-05-04,"domingo","Fin de semana"
"125",2014-05-05,"lunes","Laboral"
"126",2014-05-06,"martes","Laboral"
"127",2014-05-07,"miércoles","Laboral"
"128",2014-05-08,"jueves","Laboral"
"129",2014-05-09,"viernes","Laboral"
"130",2014-05-10,"sábado","Fin de semana"
"131",2014-05-11,"domingo","Fin de semana"
"132",2014-05-12,"lunes","Laboral"
"133",2014-05-13,"martes","Laboral"
"134",2014-05-14,"miércoles","Laboral"
"135",2014-05-15,"jueves","Laboral"
"136",2014-05-16,"viernes","Laboral"
"137",2014-05-17,"sábado","Fin de semana"
"138",2014-05-18,"domingo","Fin de semana"
"139",2014-05-19,"lunes","Laboral"
"140",2014-05-20,"martes","Laboral"
"141",2014-05-21,"miércoles","Laboral"
"142",2014-05-22,"jueves","Laboral"
"143",2014-05-23,"viernes","Laboral"
"144",2014-05-24,"sábado","Fin de semana"
"145",2014-05-25,"domingo","Fin de semana"
"146",2014-05-26,"lunes","Laboral"
"147",2014-05-27,"martes","Laboral"
"148",2014-05-28,"miércoles","Laboral"
"149",2014-05-29,"jueves","Laboral"
"150",2014-05-30,"viernes","Laboral"
"151",2014-05-31,"sábado","Fin de semana"
"152",2014-06-01,"domingo","Fin de semana"
"153",2014-06-02,"lunes","Festivo"
"154",2014-06-03,"martes","Laboral"
"155",2014-06-04,"miércoles","Laboral"
"156",2014-06-05,"jueves","Laboral"
"157",2014-06-06,"viernes","Laboral"
"158",2014-06-07,"sábado","Fin de semana"
"159",2014-06-08,"domingo","Fin de semana"
"160",2014-06-09,"lunes","Laboral"
"161",2014-06-10,"martes","Laboral"
"162",2014-06-11,"miércoles","Laboral"
"163",2014-06-12,"jueves","Laboral"
"164",2014-06-13,"viernes","Laboral"
"165",2014-06-14,"sábado","Fin de semana"
"166",2014-06-15,"domingo","Fin de semana"
"167",2014-06-16,"lunes","Laboral"
"168",2014-06-17,"martes","Laboral"
"169",2014-06-18,"miércoles","Laboral"
"170",2014-06-19,"jueves","Laboral"
"171",2014-06-20,"viernes","Laboral"
"172",2014-06-21,"sábado","Fin de semana"
"173",2014-06-22,"domingo","Fin de semana"
"174",2014-06-23,"lunes","Festivo"
"175",2014-06-24,"martes","Laboral"
"176",2014-06-25,"miércoles","Laboral"
"177",2014-06-26,"jueves","Laboral"
"178",2014-06-27,"viernes","Laboral"
"179",2014-06-28,"sábado","Fin de semana"
"180",2014-06-29,"domingo","Fin de semana"
"181",2014-06-30,"lunes","Festivo"
"182",2014-07-01,"martes","Laboral"
"183",2014-07-02,"miércoles","Laboral"
"184",2014-07-03,"jueves","Laboral"
"185",2014-07-04,"viernes","Laboral"
"186",2014-07-05,"sábado","Fin de semana"
"187",2014-07-06,"domingo","Fin de semana"
"188",2014-07-07,"lunes","Laboral"
"189",2014-07-08,"martes","Laboral"
"190",2014-07-09,"miércoles","Laboral"
"191",2014-07-10,"jueves","Laboral"
"192",2014-07-11,"viernes","Laboral"
"193",2014-07-12,"sábado","Fin de semana"
"194",2014-07-13,"domingo","Fin de semana"
"195",2014-07-14,"lunes","Laboral"
"196",2014-07-15,"martes","Laboral"
"197",2014-07-16,"miércoles","Laboral"
"198",2014-07-17,"jueves","Laboral"
"199",2014-07-18,"viernes","Laboral"
"200",2014-07-19,"sábado","Fin de semana"
"201",2014-07-20,"domingo","Fin de semana"
"202",2014-07-21,"lunes","Laboral"
"203",2014-07-22,"martes","Laboral"
"204",2014-07-23,"miércoles","Laboral"
"205",2014-07-24,"jueves","Laboral"
"206",2014-07-25,"viernes","Laboral"
"207",2014-07-26,"sábado","Fin de semana"
"208",2014-07-27,"domingo","Fin de semana"
"209",2014-07-28,"lunes","Laboral"
"210",2014-07-29,"martes","Laboral"
"211",2014-07-30,"miércoles","Laboral"
"212",2014-07-31,"jueves","Laboral"
"213",2014-08-01,"viernes","Laboral"
"214",2014-08-02,"sábado","Fin de semana"
"215",2014-08-03,"domingo","Fin de semana"
"216",2014-08-04,"lunes","Laboral"
"217",2014-08-05,"martes","Laboral"
"218",2014-08-06,"miércoles","Laboral"
"219",2014-08-07,"jueves","Festivo"
"220",2014-08-08,"viernes","Laboral"
"221",2014-08-09,"sábado","Fin de semana"
"222",2014-08-10,"domingo","Fin de semana"
"223",2014-08-11,"lunes","Laboral"
"224",2014-08-12,"martes","Laboral"
"225",2014-08-13,"miércoles","Laboral"
"226",2014-08-14,"jueves","Laboral"
"227",2014-08-15,"viernes","Laboral"
"228",2014-08-16,"sábado","Fin de semana"
"229",2014-08-17,"domingo","Fin de semana"
"230",2014-08-18,"lunes","Festivo"
"231",2014-08-19,"martes","Laboral"
"232",2014-08-20,"miércoles","Laboral"
"233",2014-08-21,"jueves","Laboral"
"234",2014-08-22,"viernes","Laboral"
"235",2014-08-23,"sábado","Fin de semana"
"236",2014-08-24,"domingo","Fin de semana"
"237",2014-08-25,"lunes","Laboral"
"238",2014-08-26,"martes","Laboral"
"239",2014-08-27,"miércoles","Laboral"
"240",2014-08-28,"jueves","Laboral"
"241",2014-08-29,"viernes","Laboral"
"242",2014-08-30,"sábado","Fin de semana"
"243",2014-08-31,"domingo","Fin de semana"
"244",2014-09-01,"lunes","Laboral"
"245",2014-09-02,"martes","Laboral"
"246",2014-09-03,"miércoles","Laboral"
"247",2014-09-04,"jueves","Laboral"
"248",2014-09-05,"viernes","Laboral"
"249",2014-09-06,"sábado","Fin de semana"
"250",2014-09-07,"domingo","Fin de semana"
"251",2014-09-08,"lunes","Laboral"
"252",2014-09-09,"martes","Laboral"
"253",2014-09-10,"miércoles","Laboral"
"254",2014-09-11,"jueves","Laboral"
"255",2014-09-12,"viernes","Laboral"
"256",2014-09-13,"sábado","Fin de semana"
"257",2014-09-14,"domingo","Fin de semana"
"258",2014-09-15,"lunes","Laboral"
"259",2014-09-16,"martes","Laboral"
"260",2014-09-17,"miércoles","Laboral"
"261",2014-09-18,"jueves","Laboral"
"262",2014-09-19,"viernes","Laboral"
"263",2014-09-20,"sábado","Fin de semana"
"264",2014-09-21,"domingo","Fin de semana"
"265",2014-09-22,"lunes","Laboral"
"266",2014-09-23,"martes","Laboral"
"267",2014-09-24,"miércoles","Laboral"
"268",2014-09-25,"jueves","Laboral"
"269",2014-09-26,"viernes","Laboral"
"270",2014-09-27,"sábado","Fin de semana"
"271",2014-09-28,"domingo","Fin de semana"
"272",2014-09-29,"lunes","Laboral"
"273",2014-09-30,"martes","Laboral"
"274",2014-10-01,"miércoles","Laboral"
"275",2014-10-02,"jueves","Laboral"
"276",2014-10-03,"viernes","Festivo"
"277",2014-10-04,"sábado","Fin de semana"
"278",2014-10-05,"domingo","Fin de semana"
"279",2014-10-06,"lunes","Laboral"
"280",2014-10-07,"martes","Laboral"
