"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO","TOTAL","PORCENTAJE"
2014,1,"","Herido",1,4,0.25
2014,1,"","Solo danos",3,4,0.75
2014,1,"6001","Herido",2,3,0.666666666666667
2014,1,"6001","Muerto",1,3,0.333333333333333
2014,1,"Aguas Frias","Herido",1,1,1
2014,1,"Aldea Pablo VI","Herido",2,2,1
2014,1,"Alejandria","Herido",1,7,0.142857142857143
2014,1,"Alejandria","Solo danos",6,7,0.857142857142857
2014,1,"Alejandro Echavarria","Herido",10,15,0.666666666666667
2014,1,"Alejandro Echavarria","Solo danos",5,15,0.333333333333333
2014,1,"Alfonso Lopez","Herido",11,17,0.647058823529412
2014,1,"Alfonso Lopez","Muerto",1,17,0.0588235294117647
2014,1,"Alfonso Lopez","Solo danos",5,17,0.294117647058824
2014,1,"Altamira","Herido",17,22,0.772727272727273
2014,1,"Altamira","Muerto",1,22,0.0454545454545455
2014,1,"Altamira","Solo danos",4,22,0.181818181818182
2014,1,"Altavista","Herido",5,7,0.714285714285714
2014,1,"Altavista","Solo danos",2,7,0.285714285714286
2014,1,"Altavista Sector Central","Herido",1,1,1
2014,1,"Altos del Poblado","Herido",3,6,0.5
2014,1,"Altos del Poblado","Solo danos",3,6,0.5
2014,1,"Andalucia","Herido",4,5,0.8
2014,1,"Andalucia","Solo danos",1,5,0.2
2014,1,"Antonio Narino","Herido",2,3,0.666666666666667
2014,1,"Antonio Narino","Solo danos",1,3,0.333333333333333
2014,1,"Aranjuez","Herido",13,25,0.52
2014,1,"Aranjuez","Solo danos",12,25,0.48
2014,1,"Area De Expansion Altavista","Herido",2,2,1
2014,1,"area de Expansion Altos de Calasanz","Solo danos",2,2,1
2014,1,"area de Expansion Pajarito","Herido",2,7,0.285714285714286
2014,1,"area de Expansion Pajarito","Muerto",1,7,0.142857142857143
2014,1,"area de Expansion Pajarito","Solo danos",4,7,0.571428571428571
2014,1,"area de Expansion San Antonio de Prado","Herido",1,1,1
2014,1,"Asomadera Nº 1","Solo danos",3,3,1
2014,1,"Asomadera Nº 2","Herido",2,7,0.285714285714286
2014,1,"Asomadera Nº 2","Solo danos",5,7,0.714285714285714
2014,1,"Asomadera Nº 3","Herido",2,3,0.666666666666667
2014,1,"Asomadera Nº 3","Solo danos",1,3,0.333333333333333
2014,1,"Astorga","Herido",2,4,0.5
2014,1,"Astorga","Solo danos",2,4,0.5
2014,1,"Aures Nº 1","Herido",6,8,0.75
2014,1,"Aures Nº 1","Solo danos",2,8,0.25
2014,1,"Aures Nº 2","Herido",6,8,0.75
2014,1,"Aures Nº 2","Solo danos",2,8,0.25
2014,1,"Barrio Colombia","Herido",8,21,0.380952380952381
2014,1,"Barrio Colombia","Solo danos",13,21,0.619047619047619
2014,1,"Barrio Colon","Herido",24,57,0.421052631578947
2014,1,"Barrio Colon","Muerto",1,57,0.0175438596491228
2014,1,"Barrio Colon","Solo danos",32,57,0.56140350877193
2014,1,"Barrio Cristobal","Herido",2,3,0.666666666666667
2014,1,"Barrio Cristobal","Solo danos",1,3,0.333333333333333
2014,1,"Barrios de Jesus","Herido",1,4,0.25
2014,1,"Barrios de Jesus","Solo danos",3,4,0.75
2014,1,"Belalcazar","Herido",3,6,0.5
2014,1,"Belalcazar","Solo danos",3,6,0.5
2014,1,"Belen","Herido",16,31,0.516129032258065
2014,1,"Belen","Muerto",1,31,0.032258064516129
2014,1,"Belen","Solo danos",14,31,0.451612903225806
2014,1,"Belencito","Herido",1,1,1
2014,1,"Bello Horizonte","Herido",4,7,0.571428571428571
2014,1,"Bello Horizonte","Solo danos",3,7,0.428571428571429
2014,1,"Berlin","Herido",5,12,0.416666666666667
2014,1,"Berlin","Solo danos",7,12,0.583333333333333
2014,1,"Bermejal - Los alamos","Herido",3,6,0.5
2014,1,"Bermejal - Los alamos","Solo danos",3,6,0.5
2014,1,"Betania","Herido",3,3,1
2014,1,"Bolivariana","Herido",2,8,0.25
2014,1,"Bolivariana","Solo danos",6,8,0.75
2014,1,"Bombona Nº 1","Herido",11,24,0.458333333333333
2014,1,"Bombona Nº 1","Solo danos",13,24,0.541666666666667
2014,1,"Bombona Nº 2","Herido",4,6,0.666666666666667
2014,1,"Bombona Nº 2","Solo danos",2,6,0.333333333333333
2014,1,"Bosques de San Pablo","Herido",3,5,0.6
2014,1,"Bosques de San Pablo","Solo danos",2,5,0.4
2014,1,"Boston","Herido",18,37,0.486486486486487
2014,1,"Boston","Muerto",1,37,0.027027027027027
2014,1,"Boston","Solo danos",18,37,0.486486486486487
2014,1,"Boyaca","Herido",7,9,0.777777777777778
2014,1,"Boyaca","Solo danos",2,9,0.222222222222222
2014,1,"Brasilia","Herido",7,9,0.777777777777778
2014,1,"Brasilia","Solo danos",2,9,0.222222222222222
2014,1,"Buenos Aires","Herido",2,5,0.4
2014,1,"Buenos Aires","Solo danos",3,5,0.6
2014,1,"Buga Patio Bonito","Herido",1,3,0.333333333333333
2014,1,"Buga Patio Bonito","Solo danos",2,3,0.666666666666667
2014,1,"Cabecera San Antonio de Prado","Herido",4,6,0.666666666666667
2014,1,"Cabecera San Antonio de Prado","Solo danos",2,6,0.333333333333333
2014,1,"Cabecera Urbana San Cristobal","Herido",3,5,0.6
2014,1,"Cabecera Urbana San Cristobal","Solo danos",2,5,0.4
2014,1,"Caicedo","Herido",10,15,0.666666666666667
2014,1,"Caicedo","Solo danos",5,15,0.333333333333333
2014,1,"Calasanz","Herido",1,11,0.0909090909090909
2014,1,"Calasanz","Solo danos",10,11,0.909090909090909
2014,1,"Calasanz Parte Alta","Herido",5,5,1
2014,1,"Calle Nueva","Herido",12,23,0.521739130434783
2014,1,"Calle Nueva","Solo danos",11,23,0.478260869565217
2014,1,"Campo Alegre","Herido",4,6,0.666666666666667
2014,1,"Campo Alegre","Solo danos",2,6,0.333333333333333
2014,1,"Campo Amor","Herido",32,57,0.56140350877193
2014,1,"Campo Amor","Solo danos",25,57,0.43859649122807
2014,1,"Campo Valdes Nº 1","Herido",11,20,0.55
2014,1,"Campo Valdes Nº 1","Solo danos",9,20,0.45
2014,1,"Campo Valdes Nº 2","Herido",7,8,0.875
2014,1,"Campo Valdes Nº 2","Solo danos",1,8,0.125
2014,1,"Caribe","Herido",35,77,0.454545454545455
2014,1,"Caribe","Muerto",1,77,0.012987012987013
2014,1,"Caribe","Solo danos",41,77,0.532467532467532
2014,1,"Carlos E. Restrepo","Herido",22,41,0.536585365853659
2014,1,"Carlos E. Restrepo","Solo danos",19,41,0.463414634146341
2014,1,"Carpinelo","Herido",2,2,1
2014,1,"Castilla","Herido",37,78,0.474358974358974
2014,1,"Castilla","Solo danos",41,78,0.525641025641026
2014,1,"Castropol","Herido",7,17,0.411764705882353
2014,1,"Castropol","Solo danos",10,17,0.588235294117647
2014,1,"Cataluna","Herido",4,7,0.571428571428571
2014,1,"Cataluna","Solo danos",3,7,0.428571428571429
2014,1,"Cerro Nutibara","Herido",7,13,0.538461538461538
2014,1,"Cerro Nutibara","Solo danos",6,13,0.461538461538462
2014,1,"Corazon de Jesus","Herido",6,20,0.3
2014,1,"Corazon de Jesus","Solo danos",14,20,0.7
2014,1,"Cordoba","Herido",1,3,0.333333333333333
2014,1,"Cordoba","Solo danos",2,3,0.666666666666667
2014,1,"Cristo Rey","Herido",12,26,0.461538461538462
2014,1,"Cristo Rey","Solo danos",14,26,0.538461538461538
2014,1,"Cuarta Brigada","Herido",8,13,0.615384615384615
2014,1,"Cuarta Brigada","Solo danos",5,13,0.384615384615385
2014,1,"Cucaracho","Herido",19,26,0.730769230769231
2014,1,"Cucaracho","Solo danos",7,26,0.269230769230769
2014,1,"Diego Echavarria","Herido",3,11,0.272727272727273
2014,1,"Diego Echavarria","Solo danos",8,11,0.727272727272727
2014,1,"Doce de Octubre Nº 1","Herido",7,9,0.777777777777778
2014,1,"Doce de Octubre Nº 1","Solo danos",2,9,0.222222222222222
2014,1,"Doce de Octubre Nº 2","Herido",10,13,0.769230769230769
2014,1,"Doce de Octubre Nº 2","Solo danos",3,13,0.230769230769231
2014,1,"El Castillo","Herido",1,4,0.25
2014,1,"El Castillo","Solo danos",3,4,0.75
2014,1,"El Chagualo","Herido",16,39,0.41025641025641
2014,1,"El Chagualo","Solo danos",23,39,0.58974358974359
2014,1,"El Compromiso","Herido",1,1,1
2014,1,"El Corazon","Herido",2,3,0.666666666666667
2014,1,"El Corazon","Solo danos",1,3,0.333333333333333
2014,1,"El Corazon El Morro ","Herido",1,1,1
2014,1,"El Danubio","Herido",4,6,0.666666666666667
2014,1,"El Danubio","Solo danos",2,6,0.333333333333333
2014,1,"El Diamante","Herido",9,10,0.9
2014,1,"El Diamante","Solo danos",1,10,0.1
2014,1,"El Diamante Nº 2","Solo danos",1,1,1
2014,1,"El Nogal - Los Almendros","Herido",1,5,0.2
2014,1,"El Nogal - Los Almendros","Solo danos",4,5,0.8
2014,1,"El Pesebre","Herido",2,2,1
2014,1,"El Picacho","Solo danos",1,1,1
2014,1,"El Pinal","Herido",8,10,0.8
2014,1,"El Pinal","Muerto",1,10,0.1
2014,1,"El Pinal","Solo danos",1,10,0.1
2014,1,"El Playon de Los Comuneros","Herido",2,3,0.666666666666667
2014,1,"El Playon de Los Comuneros","Solo danos",1,3,0.333333333333333
2014,1,"El Poblado","Herido",1,15,0.0666666666666667
2014,1,"El Poblado","Solo danos",14,15,0.933333333333333
2014,1,"El Pomar","Herido",5,6,0.833333333333333
2014,1,"El Pomar","Solo danos",1,6,0.166666666666667
2014,1,"El Progreso","Herido",11,19,0.578947368421053
2014,1,"El Progreso","Solo danos",8,19,0.421052631578947
2014,1,"El Progreso Nº 2","Herido",1,2,0.5
2014,1,"El Progreso Nº 2","Solo danos",1,2,0.5
2014,1,"El Raizal","Herido",2,2,1
2014,1,"El Rincon","Herido",7,14,0.5
2014,1,"El Rincon","Solo danos",7,14,0.5
2014,1,"El Rodeo","Herido",2,3,0.666666666666667
2014,1,"El Rodeo","Solo danos",1,3,0.333333333333333
2014,1,"El Salado","Solo danos",1,1,1
2014,1,"El Salvador","Herido",1,5,0.2
2014,1,"El Salvador","Muerto",1,5,0.2
2014,1,"El Salvador","Solo danos",3,5,0.6
2014,1,"El Tesoro","Herido",4,10,0.4
2014,1,"El Tesoro","Solo danos",6,10,0.6
2014,1,"El Triunfo","Herido",1,1,1
2014,1,"El Velodromo","Herido",3,10,0.3
2014,1,"El Velodromo","Solo danos",7,10,0.7
2014,1,"El Volador","Herido",2,2,1
2014,1,"Enciso","Herido",8,12,0.666666666666667
2014,1,"Enciso","Muerto",1,12,0.0833333333333333
2014,1,"Enciso","Solo danos",3,12,0.25
2014,1,"Estacion Villa","Herido",6,16,0.375
2014,1,"Estacion Villa","Solo danos",10,16,0.625
2014,1,"Estadio","Herido",14,27,0.518518518518518
2014,1,"Estadio","Solo danos",13,27,0.481481481481481
2014,1,"Fatima","Herido",14,21,0.666666666666667
2014,1,"Fatima","Solo danos",7,21,0.333333333333333
2014,1,"Ferrini","Herido",2,7,0.285714285714286
2014,1,"Ferrini","Solo danos",5,7,0.714285714285714
2014,1,"Florencia","Herido",3,5,0.6
2014,1,"Florencia","Solo danos",2,5,0.4
2014,1,"Florida Nueva","Herido",5,14,0.357142857142857
2014,1,"Florida Nueva","Solo danos",9,14,0.642857142857143
2014,1,"Francisco Antonio Zea","Herido",4,7,0.571428571428571
2014,1,"Francisco Antonio Zea","Solo danos",3,7,0.428571428571429
2014,1,"Gerona","Herido",1,1,1
2014,1,"Girardot","Herido",10,15,0.666666666666667
2014,1,"Girardot","Solo danos",5,15,0.333333333333333
2014,1,"Granada","Herido",4,8,0.5
2014,1,"Granada","Solo danos",4,8,0.5
2014,1,"Granizal","Herido",3,4,0.75
2014,1,"Granizal","Solo danos",1,4,0.25
2014,1,"Guayabal","Herido",15,38,0.394736842105263
2014,1,"Guayabal","Solo danos",23,38,0.605263157894737
2014,1,"Guayaquil","Herido",19,47,0.404255319148936
2014,1,"Guayaquil","Muerto",3,47,0.0638297872340425
2014,1,"Guayaquil","Solo danos",25,47,0.531914893617021
2014,1,"Hector Abad Gomez","Herido",9,16,0.5625
2014,1,"Hector Abad Gomez","Muerto",1,16,0.0625
2014,1,"Hector Abad Gomez","Solo danos",6,16,0.375
2014,1,"Inst","Solo danos",2,2,1
2014,1,"Jesus Nazareno","Herido",12,26,0.461538461538462
2014,1,"Jesus Nazareno","Solo danos",14,26,0.538461538461538
2014,1,"Juan Pablo II","Herido",3,3,1
2014,1,"Juan XXIII","Solo danos",1,1,1
2014,1,"Kennedy","Herido",7,11,0.636363636363636
2014,1,"Kennedy","Muerto",1,11,0.0909090909090909
2014,1,"Kennedy","Solo danos",3,11,0.272727272727273
2014,1,"La Aguacatala","Herido",11,27,0.407407407407407
2014,1,"La Aguacatala","Solo danos",16,27,0.592592592592593
2014,1,"La America","Herido",10,20,0.5
2014,1,"La America","Solo danos",10,20,0.5
2014,1,"La Avanzada","Herido",2,2,1
2014,1,"La Candelaria","Herido",49,107,0.457943925233645
2014,1,"La Candelaria","Muerto",1,107,0.00934579439252336
2014,1,"La Candelaria","Solo danos",57,107,0.532710280373832
2014,1,"La Castellana","Herido",6,8,0.75
2014,1,"La Castellana","Solo danos",2,8,0.25
2014,1,"La Colina","Solo danos",3,3,1
2014,1,"La Esperanza","Herido",8,11,0.727272727272727
2014,1,"La Esperanza","Solo danos",3,11,0.272727272727273
2014,1,"La Esperanza Nº 2","Herido",1,1,1
2014,1,"La Floresta","Herido",6,11,0.545454545454545
2014,1,"La Floresta","Solo danos",5,11,0.454545454545455
2014,1,"La Florida","Herido",3,10,0.3
2014,1,"La Florida","Solo danos",7,10,0.7
2014,1,"La Francia","Herido",3,3,1
2014,1,"La Frontera","Herido",2,4,0.5
2014,1,"La Frontera","Solo danos",2,4,0.5
2014,1,"La Gloria","Herido",7,11,0.636363636363636
2014,1,"La Gloria","Solo danos",4,11,0.363636363636364
2014,1,"La Hondonada","Herido",2,3,0.666666666666667
2014,1,"La Hondonada","Solo danos",1,3,0.333333333333333
2014,1,"La Isla","Herido",4,5,0.8
2014,1,"La Isla","Solo danos",1,5,0.2
2014,1,"La Ladera","Herido",3,3,1
2014,1,"La Libertad","Herido",5,6,0.833333333333333
2014,1,"La Libertad","Solo danos",1,6,0.166666666666667
2014,1,"La Loma de Los Bernal","Herido",5,6,0.833333333333333
2014,1,"La Loma de Los Bernal","Solo danos",1,6,0.166666666666667
2014,1,"La Mansion","Herido",1,2,0.5
2014,1,"La Mansion","Solo danos",1,2,0.5
2014,1,"La Milagrosa","Herido",4,5,0.8
2014,1,"La Milagrosa","Solo danos",1,5,0.2
2014,1,"La Mota","Herido",4,5,0.8
2014,1,"La Mota","Solo danos",1,5,0.2
2014,1,"La Palma","Herido",3,6,0.5
2014,1,"La Palma","Solo danos",3,6,0.5
2014,1,"La Pilarica","Herido",3,5,0.6
2014,1,"La Pilarica","Solo danos",2,5,0.4
2014,1,"La Pinuela","Herido",3,3,1
