"PERIODO","MES","BARRIO","TOTAL"
2014,1,"",4
2014,1,"6001",3
2014,1,"Aguas Frias",1
2014,1,"Aldea Pablo VI",2
2014,1,"Alejandria",7
2014,1,"Alejandro Echavarria",15
2014,1,"Alfonso Lopez",17
2014,1,"Altamira",22
2014,1,"Altavista",7
2014,1,"Altavista Sector Central",1
2014,1,"Altos del Poblado",6
2014,1,"Andalucia",5
2014,1,"Antonio Narino",3
2014,1,"Aranjuez",25
2014,1,"Area De Expansion Altavista",2
2014,1,"area de Expansion Altos de Calasanz",2
2014,1,"area de Expansion Pajarito",7
2014,1,"area de Expansion San Antonio de Prado",1
2014,1,"Asomadera Nº 1",3
2014,1,"Asomadera Nº 2",7
2014,1,"Asomadera Nº 3",3
2014,1,"Astorga",4
2014,1,"Aures Nº 1",8
2014,1,"Aures Nº 2",8
2014,1,"Barrio Colombia",21
2014,1,"Barrio Colon",57
2014,1,"Barrio Cristobal",3
2014,1,"Barrios de Jesus",4
2014,1,"Belalcazar",6
2014,1,"Belen",31
2014,1,"Belencito",1
2014,1,"Bello Horizonte",7
2014,1,"Berlin",12
2014,1,"Bermejal - Los alamos",6
2014,1,"Betania",3
2014,1,"Bolivariana",8
2014,1,"Bombona Nº 1",24
2014,1,"Bombona Nº 2",6
2014,1,"Bosques de San Pablo",5
2014,1,"Boston",37
2014,1,"Boyaca",9
2014,1,"Brasilia",9
2014,1,"Buenos Aires",5
2014,1,"Buga Patio Bonito",3
2014,1,"Cabecera San Antonio de Prado",6
2014,1,"Cabecera Urbana San Cristobal",5
2014,1,"Caicedo",15
2014,1,"Calasanz",11
2014,1,"Calasanz Parte Alta",5
2014,1,"Calle Nueva",23
2014,1,"Campo Alegre",6
2014,1,"Campo Amor",57
2014,1,"Campo Valdes Nº 1",20
2014,1,"Campo Valdes Nº 2",8
2014,1,"Caribe",77
2014,1,"Carlos E. Restrepo",41
2014,1,"Carpinelo",2
2014,1,"Castilla",78
2014,1,"Castropol",17
2014,1,"Cataluna",7
2014,1,"Cerro Nutibara",13
2014,1,"Corazon de Jesus",20
2014,1,"Cordoba",3
2014,1,"Cristo Rey",26
2014,1,"Cuarta Brigada",13
2014,1,"Cucaracho",26
2014,1,"Diego Echavarria",11
2014,1,"Doce de Octubre Nº 1",9
2014,1,"Doce de Octubre Nº 2",13
2014,1,"El Castillo",4
2014,1,"El Chagualo",39
2014,1,"El Compromiso",1
2014,1,"El Corazon",3
2014,1,"El Corazon El Morro ",1
2014,1,"El Danubio",6
2014,1,"El Diamante",10
2014,1,"El Diamante Nº 2",1
2014,1,"El Nogal - Los Almendros",5
2014,1,"El Pesebre",2
2014,1,"El Picacho",1
2014,1,"El Pinal",10
2014,1,"El Playon de Los Comuneros",3
2014,1,"El Poblado",15
2014,1,"El Pomar",6
2014,1,"El Progreso",19
2014,1,"El Progreso Nº 2",2
2014,1,"El Raizal",2
2014,1,"El Rincon",14
2014,1,"El Rodeo",3
2014,1,"El Salado",1
2014,1,"El Salvador",5
2014,1,"El Tesoro",10
2014,1,"El Triunfo",1
2014,1,"El Velodromo",10
2014,1,"El Volador",2
2014,1,"Enciso",12
2014,1,"Estacion Villa",16
2014,1,"Estadio",27
2014,1,"Fatima",21
2014,1,"Ferrini",7
2014,1,"Florencia",5
2014,1,"Florida Nueva",14
2014,1,"Francisco Antonio Zea",7
2014,1,"Gerona",1
2014,1,"Girardot",15
2014,1,"Granada",8
2014,1,"Granizal",4
2014,1,"Guayabal",38
2014,1,"Guayaquil",47
2014,1,"Hector Abad Gomez",16
2014,1,"Inst",2
2014,1,"Jesus Nazareno",26
2014,1,"Juan Pablo II",3
2014,1,"Juan XXIII",1
2014,1,"Kennedy",11
2014,1,"La Aguacatala",27
2014,1,"La America",20
2014,1,"La Avanzada",2
2014,1,"La Candelaria",107
2014,1,"La Castellana",8
2014,1,"La Colina",3
2014,1,"La Esperanza",11
2014,1,"La Esperanza Nº 2",1
2014,1,"La Floresta",11
2014,1,"La Florida",10
2014,1,"La Francia",3
2014,1,"La Frontera",4
2014,1,"La Gloria",11
2014,1,"La Hondonada",3
2014,1,"La Isla",5
2014,1,"La Ladera",3
2014,1,"La Libertad",6
2014,1,"La Loma de Los Bernal",6
2014,1,"La Mansion",2
2014,1,"La Milagrosa",5
2014,1,"La Mota",5
2014,1,"La Palma",6
2014,1,"La Pilarica",5
2014,1,"La Pinuela",3
2014,1,"La Pradera",5
2014,1,"La Rosa",6
2014,1,"La Salle",10
2014,1,"Lalinde",1
2014,1,"Las Acacias",28
2014,1,"Las Brisas",13
2014,1,"Las Esmeraldas",6
2014,1,"Las Estancias",3
2014,1,"Las Granjas",12
2014,1,"Las Independencias",3
2014,1,"Las Lomas Nº 1",8
2014,1,"Las Lomas Nº 2",2
2014,1,"Las Mercedes",7
2014,1,"Las Palmas",12
2014,1,"Las Playas",5
2014,1,"Las Violetas",7
2014,1,"Laureles",15
2014,1,"Llanaditas",2
2014,1,"Lopez de Mesa",13
2014,1,"Lorena",11
2014,1,"Loreto",10
2014,1,"Los Alcazares",8
2014,1,"Los Alpes",5
2014,1,"Los angeles",14
2014,1,"Los Balsos Nº 1",6
2014,1,"Los Balsos Nº 2",9
2014,1,"Los Cerros - El Vergel",2
2014,1,"Los Colores",19
2014,1,"Los Conquistadores",61
2014,1,"Los Mangos",10
2014,1,"Los Naranjos",6
2014,1,"Los Pinos",16
2014,1,"Manila",26
2014,1,"Manrique",15
2014,1,"Manrique Central Nº 1",23
2014,1,"Manrique Central Nº 2",13
2014,1,"Mirador del Doce",1
2014,1,"Miraflores",12
2014,1,"Miranda",17
2014,1,"Moravia",25
2014,1,"Moscu Nº 1",6
2014,1,"Moscu Nº 2",2
2014,1,"Naranjal",37
2014,1,"Nuevos Conquistadores",1
2014,1,"Olaya Herrera",1
2014,1,"Oriente",1
2014,1,"Pablo VI",2
2014,1,"Pajarito",2
2014,1,"Palenque",6
2014,1,"Palermo",2
2014,1,"Patio Bonito",11
2014,1,"Pedregal",11
2014,1,"Pedregal Alto",1
2014,1,"Pedregal Bajo",2
2014,1,"Perpetuo Socorro",54
2014,1,"Picachito",1
2014,1,"Picacho",9
2014,1,"Piedras Blancas",1
2014,1,"Piedras Blancas Represa",1
2014,1,"Popular",9
2014,1,"Prado",34
2014,1,"Robledo",62
2014,1,"Rosales",23
2014,1,"San Benito",29
2014,1,"San Bernardo",20
2014,1,"San Diego",45
2014,1,"San German",7
2014,1,"San Isidro",8
2014,1,"San Javier Nº 1",11
2014,1,"San Javier Nº 2",7
2014,1,"San Joaquin",10
2014,1,"San Jose La Cima Nº 2",1
2014,1,"San Lucas",2
2014,1,"San Martin de Porres",10
2014,1,"San Miguel",7
2014,1,"San Pablo",7
2014,1,"San Pedro",19
2014,1,"Santa Cruz",4
2014,1,"Santa Fe",46
2014,1,"Santa Ines",8
2014,1,"Santa Lucia",2
2014,1,"Santa Maria de los angeles",17
2014,1,"Santa Monica",7
2014,1,"Santa Teresita",4
2014,1,"Santander",4
2014,1,"Santo Domingo Savio Nº 1",8
2014,1,"Santo Domingo Savio Nº 2",1
2014,1,"Sevilla",14
2014,1,"Simon Bolivar",6
2014,1,"Suburbano El Plan",14
2014,1,"Suburbano el Tesoro",1
2014,1,"Suburbano Travesias",1
2014,1,"Sucre",5
2014,1,"Suramericana",20
2014,1,"Tejelo",6
2014,1,"Tenche",16
2014,1,"Toscana",8
2014,1,"Trece de Noviembre",2
2014,1,"Tricentenario",11
2014,1,"Trinidad",17
2014,1,"Veinte de Julio",7
2014,1,"Versalles Nº 1",12
2014,1,"Villa Carlota",35
2014,1,"Villa de La Iguana",10
2014,1,"Villa del Socorro",7
2014,1,"Villa Flora",24
2014,1,"Villa Guadalupe",3
2014,1,"Villa Hermosa",13
2014,1,"Villa Lilliam",2
2014,1,"Villa Niza",3
2014,1,"Villa Nueva",48
2014,1,"Villa Turbay",1
2014,1,"Villatina",4
2014,1,"Zona rural",15
2014,2,"",5
2014,2,"Aguas Frias",2
2014,2,"Aldea Pablo VI",1
2014,2,"Alejandria",14
2014,2,"Alejandro Echavarria",12
2014,2,"Alfonso Lopez",13
2014,2,"Altamira",23
2014,2,"Altavista",4
2014,2,"Altavista Sector Central",2
2014,2,"Altos del Poblado",1
2014,2,"Andalucia",3
2014,2,"Antonio Narino",6
2014,2,"Aranjuez",27
2014,2,"area de Expansion Pajarito",7
2014,2,"Asomadera Nº 1",6
2014,2,"Asomadera Nº 2",9
2014,2,"Asomadera Nº 3",2
2014,2,"Astorga",7
2014,2,"AUC1",1
2014,2,"Aures Nº 1",6
2014,2,"Aures Nº 2",7
2014,2,"Barrio Colombia",18
2014,2,"Barrio Colon",48
2014,2,"Barrio Cristobal",3
2014,2,"Barrios de Jesus",2
2014,2,"Belalcazar",7
2014,2,"Belen",19
2014,2,"Belencito",2
2014,2,"Bello Horizonte",6
2014,2,"Berlin",11
2014,2,"Bermejal - Los alamos",2
2014,2,"Betania",2
2014,2,"Blanquizal",2
2014,2,"Bolivariana",23
2014,2,"Bombona Nº 1",31
2014,2,"Bombona Nº 2",4
2014,2,"Bosques de San Pablo",6
2014,2,"Boston",46
2014,2,"Boyaca",10
2014,2,"Brasilia",9
2014,2,"Buenos Aires",11
2014,2,"Buga Patio Bonito",1
2014,2,"Cabecera San Antonio de Prado",5
2014,2,"Cabecera Urbana San Cristobal",11
2014,2,"Caicedo",9
2014,2,"Calasanz",8
2014,2,"Calasanz Parte Alta",7
2014,2,"Calle Nueva",26
2014,2,"Campo Alegre",13
2014,2,"Campo Amor",63
2014,2,"Campo Valdes Nº 1",20
2014,2,"Campo Valdes Nº 2",17
2014,2,"Caribe",69
2014,2,"Carlos E. Restrepo",50
2014,2,"Carpinelo",2
2014,2,"Castilla",81
2014,2,"Castropol",11
2014,2,"Cataluna",4
2014,2,"Cerro Nutibara",9
2014,2,"Corazon de Jesus",41
2014,2,"Cordoba",9
2014,2,"Cristo Rey",26
2014,2,"Cuarta Brigada",17
2014,2,"Cucaracho",16
2014,2,"Diego Echavarria",8
2014,2,"Doce de Octubre Nº 1",10
2014,2,"Doce de Octubre Nº 2",12
2014,2,"Eduardo Santos",1
2014,2,"El Castillo",7
2014,2,"El Chagualo",22
2014,2,"El Compromiso",2
2014,2,"El Corazon",2
2014,2,"El Danubio",8
2014,2,"El Diamante",16
2014,2,"El Diamante Nº 2",3
2014,2,"El Nogal - Los Almendros",7
2014,2,"El Pinal",13
2014,2,"El Playon de Los Comuneros",7
2014,2,"El Poblado",26
2014,2,"El Pomar",4
2014,2,"El Progreso",32
2014,2,"El Raizal",5
2014,2,"El Rincon",10
2014,2,"El Rodeo",2
2014,2,"El Salado",3
2014,2,"El Salvador",10
2014,2,"El Socorro",2
2014,2,"El Tesoro",14
2014,2,"El Triunfo",1
2014,2,"El Velodromo",15
2014,2,"El Volador",5
2014,2,"Enciso",12
2014,2,"Estacion Villa",25
2014,2,"Estadio",32
2014,2,"Fatima",23
2014,2,"Ferrini",4
2014,2,"Florencia",6
2014,2,"Florida Nueva",12
2014,2,"Francisco Antonio Zea",4
2014,2,"Gerona",10
2014,2,"Girardot",20
2014,2,"Granada",12
2014,2,"Granizal",7
2014,2,"Guayabal",39
2014,2,"Guayaquil",65
2014,2,"Hector Abad Gomez",11
2014,2,"Inst",4
2014,2,"Jesus Nazareno",31
