"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO"
2014,1,"","Herido",1
2014,1,"","Solo danos",3
2014,1,"6001","Herido",2
2014,1,"6001","Muerto",1
2014,1,"Aguas Frias","Herido",1
2014,1,"Aldea Pablo VI","Herido",2
2014,1,"Alejandria","Herido",1
2014,1,"Alejandria","Solo danos",6
2014,1,"Alejandro Echavarria","Herido",10
2014,1,"Alejandro Echavarria","Solo danos",5
2014,1,"Alfonso Lopez","Herido",11
2014,1,"Alfonso Lopez","Muerto",1
2014,1,"Alfonso Lopez","Solo danos",5
2014,1,"Altamira","Herido",17
2014,1,"Altamira","Muerto",1
2014,1,"Altamira","Solo danos",4
2014,1,"Altavista","Herido",5
2014,1,"Altavista","Solo danos",2
2014,1,"Altavista Sector Central","Herido",1
2014,1,"Altos del Poblado","Herido",3
2014,1,"Altos del Poblado","Solo danos",3
2014,1,"Andalucia","Herido",4
2014,1,"Andalucia","Solo danos",1
2014,1,"Antonio Narino","Herido",2
2014,1,"Antonio Narino","Solo danos",1
2014,1,"Aranjuez","Herido",13
2014,1,"Aranjuez","Solo danos",12
2014,1,"Area De Expansion Altavista","Herido",2
2014,1,"area de Expansion Altos de Calasanz","Solo danos",2
2014,1,"area de Expansion Pajarito","Herido",2
2014,1,"area de Expansion Pajarito","Muerto",1
2014,1,"area de Expansion Pajarito","Solo danos",4
2014,1,"area de Expansion San Antonio de Prado","Herido",1
2014,1,"Asomadera Nº 1","Solo danos",3
2014,1,"Asomadera Nº 2","Herido",2
2014,1,"Asomadera Nº 2","Solo danos",5
2014,1,"Asomadera Nº 3","Herido",2
2014,1,"Asomadera Nº 3","Solo danos",1
2014,1,"Astorga","Herido",2
2014,1,"Astorga","Solo danos",2
2014,1,"Aures Nº 1","Herido",6
2014,1,"Aures Nº 1","Solo danos",2
2014,1,"Aures Nº 2","Herido",6
2014,1,"Aures Nº 2","Solo danos",2
2014,1,"Barrio Colombia","Herido",8
2014,1,"Barrio Colombia","Solo danos",13
2014,1,"Barrio Colon","Herido",24
2014,1,"Barrio Colon","Muerto",1
2014,1,"Barrio Colon","Solo danos",32
2014,1,"Barrio Cristobal","Herido",2
2014,1,"Barrio Cristobal","Solo danos",1
2014,1,"Barrios de Jesus","Herido",1
2014,1,"Barrios de Jesus","Solo danos",3
2014,1,"Belalcazar","Herido",3
2014,1,"Belalcazar","Solo danos",3
2014,1,"Belen","Herido",16
2014,1,"Belen","Muerto",1
2014,1,"Belen","Solo danos",14
2014,1,"Belencito","Herido",1
2014,1,"Bello Horizonte","Herido",4
2014,1,"Bello Horizonte","Solo danos",3
2014,1,"Berlin","Herido",5
2014,1,"Berlin","Solo danos",7
2014,1,"Bermejal - Los alamos","Herido",3
2014,1,"Bermejal - Los alamos","Solo danos",3
2014,1,"Betania","Herido",3
2014,1,"Bolivariana","Herido",2
2014,1,"Bolivariana","Solo danos",6
2014,1,"Bombona Nº 1","Herido",11
2014,1,"Bombona Nº 1","Solo danos",13
2014,1,"Bombona Nº 2","Herido",4
2014,1,"Bombona Nº 2","Solo danos",2
2014,1,"Bosques de San Pablo","Herido",3
2014,1,"Bosques de San Pablo","Solo danos",2
2014,1,"Boston","Herido",18
2014,1,"Boston","Muerto",1
2014,1,"Boston","Solo danos",18
2014,1,"Boyaca","Herido",7
2014,1,"Boyaca","Solo danos",2
2014,1,"Brasilia","Herido",7
2014,1,"Brasilia","Solo danos",2
2014,1,"Buenos Aires","Herido",2
2014,1,"Buenos Aires","Solo danos",3
2014,1,"Buga Patio Bonito","Herido",1
2014,1,"Buga Patio Bonito","Solo danos",2
2014,1,"Cabecera San Antonio de Prado","Herido",4
2014,1,"Cabecera San Antonio de Prado","Solo danos",2
2014,1,"Cabecera Urbana San Cristobal","Herido",3
2014,1,"Cabecera Urbana San Cristobal","Solo danos",2
2014,1,"Caicedo","Herido",10
2014,1,"Caicedo","Solo danos",5
2014,1,"Calasanz","Herido",1
2014,1,"Calasanz","Solo danos",10
2014,1,"Calasanz Parte Alta","Herido",5
2014,1,"Calle Nueva","Herido",12
2014,1,"Calle Nueva","Solo danos",11
2014,1,"Campo Alegre","Herido",4
2014,1,"Campo Alegre","Solo danos",2
2014,1,"Campo Amor","Herido",32
2014,1,"Campo Amor","Solo danos",25
2014,1,"Campo Valdes Nº 1","Herido",11
2014,1,"Campo Valdes Nº 1","Solo danos",9
2014,1,"Campo Valdes Nº 2","Herido",7
2014,1,"Campo Valdes Nº 2","Solo danos",1
2014,1,"Caribe","Herido",35
2014,1,"Caribe","Muerto",1
2014,1,"Caribe","Solo danos",41
2014,1,"Carlos E. Restrepo","Herido",22
2014,1,"Carlos E. Restrepo","Solo danos",19
2014,1,"Carpinelo","Herido",2
2014,1,"Castilla","Herido",37
2014,1,"Castilla","Solo danos",41
2014,1,"Castropol","Herido",7
2014,1,"Castropol","Solo danos",10
2014,1,"Cataluna","Herido",4
2014,1,"Cataluna","Solo danos",3
2014,1,"Cerro Nutibara","Herido",7
2014,1,"Cerro Nutibara","Solo danos",6
2014,1,"Corazon de Jesus","Herido",6
2014,1,"Corazon de Jesus","Solo danos",14
2014,1,"Cordoba","Herido",1
2014,1,"Cordoba","Solo danos",2
2014,1,"Cristo Rey","Herido",12
2014,1,"Cristo Rey","Solo danos",14
2014,1,"Cuarta Brigada","Herido",8
2014,1,"Cuarta Brigada","Solo danos",5
2014,1,"Cucaracho","Herido",19
