MES/DIA;Fechas importantes;Festivo
01/01/2014;Anno nuevo;SI
06/01/2014;Reyes;SI
08/03/2014;Dia de la mujer;NO
19/03/2014;Dia del hombre;NO
17/04/2014;Jueves Santo;SI
26/04/2014;Dia del nino;NO
01/05/2014;Dia del trabajo;SI
11/05/2014;Dia de la madre;NO
25/05/2014;Elecciones presidenciales;NO
15/06/2014;Elecciones presidenciales segunda vuelta;NO
22/06/2014;Dia del padre;NO
20/07/2014;Dia de la independencia;SI
01/08/2014;Feria de las flores;NO
02/08/2014;Feria de las flores;NO
03/08/2014;Feria de las flores;NO
04/08/2014;Feria de las flores;NO
05/08/2014;Feria de las flores;NO
06/08/2014;Feria de las flores;NO
07/08/2014;Feria de las flores - Batalla de Boyaca;SI
08/08/2014;Feria de las flores;NO
09/08/2014;Feria de las flores;NO
10/08/2014;Feria de las flores;NO
06/10/2014;Receso escolar;NO
07/10/2014;Receso escolar;NO
08/10/2014;Receso escolar;NO
09/10/2014;Receso escolar;NO
10/10/2014;Receso escolar;NO
11/10/2014;Receso escolar;NO
12/10/2014;Receso escolar;NO
13/10/2014;Receso escolar;SI
31/10/2014;Halloween;NO
01/12/2014;Alborada;NO
07/12/2014;Dia de la virgen;NO
08/12/2014;Dia de la virgen;SI
24/12/2014;Navidad;NO
25/12/2014;Navidad;SI
31/12/2014;Fin de anno;NO
01/01/2015;Anno nuevo;SI
12/01/2015;Reyes;SI
08/03/2015;Dia de la mujer;NO
19/03/2015;Dia del hombre;NO
02/04/2015;Jueves Santo;SI
03/04/2015;Viernes Santo;SI
25/04/2015;Dia del nino;NO
01/05/2015;Dia del trabajo;SI
10/05/2015;Dia de la madre;NO
14/06/2015;Dia del padre;NO
20/07/2015;Dia de la independencia;SI
31/07/2015;Feria de las flores;NO
01/08/2015;Feria de las flores;NO
02/08/2015;Feria de las flores;NO
03/08/2015;Feria de las flores;NO
04/08/2015;Feria de las flores;NO
05/08/2015;Feria de las flores;NO
06/08/2015;Feria de las flores;NO
