"BARRIO","TOTAL"
"",264
"0",4
"6001",43
"7001",18
"9004",2
"9086",2
"Aguas Frias",92
"Aldea Pablo VI",88
"Alejandria",553
"Alejandro Echavarria",926
"Alfonso Lopez",1233
"Altamira",820
"Altavista",369
"Altavista Sector Central",124
"Altos del Poblado",282
"Andalucia",262
"Antonio Narino",256
"Aranjuez",1979
"Area De Expansion Altavista",52
"area de Expansion Altos de Calasanz",112
"Area De Expansion Belen Rincon",14
"area de Expansion Pajarito",828
"area de Expansion San Antonio de Prado",64
"Asomadera Nº 1",486
"Asomadera Nº 2",547
"Asomadera Nº 3",152
"Astorga",310
"AUC1",17
"AUC2",2
"Aures Nº 1",514
"Aures Nº 2",644
"Barrio Colombia",1314
"Barrio Colon",4000
"Barrio Cristobal",169
"Barrios de Jesus",321
"Batallon Girardot",14
"Belalcazar",623
"Belen",2666
"Belencito",164
"Bello Horizonte",359
"Berlin",898
"Bermejal - Los alamos",254
"Betania",116
"Blanquizal",101
"Bolivariana",1021
"Bombona Nº 1",1343
"Bombona Nº 2",377
"Bosques de San Pablo",395
"Boston",2465
"Boyaca",640
"Brasilia",551
"Buenos Aires",1073
"Buga Patio Bonito",49
"Cabecera San Antonio de Prado",2068
"Cabecera Urbana San Cristobal",638
"Caicedo",984
"Calasanz",883
"Calasanz Parte Alta",481
"Calle Nueva",1797
"Campo Alegre",600
"Campo Amor",4591
"Campo Valdes Nº 1",1347
"Campo Valdes Nº 2",1017
"Caribe",4802
"Carlos E. Restrepo",3241
"Carpinelo",115
"Castilla",6899
"Castropol",1161
"Cataluna",304
"Cerro Nutibara",928
"Corazon de Jesus",2701
"Cordoba",556
"Corregimiento de San Antonio de Prado",4
"Corregimiento de Santa Elena",1
"Cristo Rey",2088
"Cuarta Brigada",1279
"Cucaracho",1090
"Diego Echavarria",438
"Doce de Octubre Nº 1",574
"Doce de Octubre Nº 2",667
"Eduardo Santos",46
"El Castillo",319
"El Chagualo",2207
"El Compromiso",115
"El Corazon",121
"El Corazon El Morro ",17
"El Danubio",413
"El Diamante",1091
"El Diamante Nº 2",288
"El Llano SE",1
"El Nogal - Los Almendros",477
"El Pesebre",210
"El Picacho",21
"El Pinal",580
"El Plan",1
"El Playon de Los Comuneros",343
"El Poblado",1525
"El Pomar",363
"El Progreso",1950
"El Progreso Nº 2",157
"El Raizal",536
"El Rincon",921
"El Rodeo",173
"El Salado",190
"El Salvador",612
"El Socorro",70
"El Tesoro",678
"El Triunfo",57
"El Uvito",1
"El Velodromo",745
"El Vergel",4
"El Volador",187
"Enciso",709
"Estacion Villa",1315
"Estadio",1783
"Fatima",1212
"Ferrini",290
"Florencia",387
"Florida Nueva",881
"Francisco Antonio Zea",639
"Fuente Clara",119
"Gerona",480
"Girardot",1106
"Granada",506
"Granizal",369
"Guayabal",3205
"Guayaquil",3777
"Hector Abad Gomez",1017
"Inst",183
"Jesus Nazareno",2153
"Juan Pablo II",40
"Juan XXIII",172
"Kennedy",1005
"La Aguacatala",2010
"La America",1205
"La Avanzada",128
"La Candelaria",7614
"La Castellana",806
"La Colina",555
"La Cruz",111
"La Esperanza",755
"La Esperanza Nº 2",129
"La Floresta",792
"La Florida",925
"La Francia",282
"La Frontera",248
"La Gloria",1025
"La Hondonada",189
"La Isla",208
"La Ladera",83
"La Libertad",347
"La Loma de Los Bernal",454
"La Loma Oriental",28
"La Mansion",317
"La Milagrosa",549
"La Mota",421
"La Oculta",20
"La Palma",674
"La Pilarica",522
"La Pinuela",363
"La Pradera",413
"La Rosa",258
"La Salle",603
"La Sierra",17
"La Verde ",47
"Lalinde",163
"Las Acacias",1642
"Las Brisas",1088
"Las Esmeraldas",405
"Las Estancias",283
"Las Granjas",1207
"Las Independencias",77
"Las Lomas Nº 1",599
"Las Lomas Nº 2",331
"Las Mercedes",371
"Las Palmas",642
"Las Playas",590
"Las Violetas",403
"Laureles",1762
"Llanaditas",70
"Lopez de Mesa",998
"Lorena",1000
"Loreto",734
"Los Alcazares",492
"Los Alpes",474
"Los angeles",1264
"Los Balsos Nº 1",388
"Los Balsos Nº 2",792
"Los Cerros - El Vergel",244
"Los Colores",2190
"Los Conquistadores",4065
"Los Mangos",556
"Los Naranjos",519
"Los Pinos",1233
"Manila",1964
"Manrique",944
"Manrique Central Nº 1",1257
"Manrique Central Nº 2",730
"Maria Cano - Carambola",68
"Media Luna",3
"Metropolitano",42
"Mirador del Doce",44
"Miraflores",676
"Miranda",1141
"Miravalle",93
"Monteclaro",110
"Moravia",1449
"Moscu Nº 1",380
"Moscu Nº 2",353
"Naranjal",2935
"Nueva Villa de Aburra",185
"Nuevos Conquistadores",106
"Ocho de Marzo",53
"Olaya Herrera",212
"Oriente",97
"Pablo VI",102
"Pajarito",128
"Palenque",420
"Palermo",411
"Palmitas Sector Central",2
"Patio Bonito",1067
"Pedregal",985
"Pedregal Alto",50
"Pedregal Bajo",102
"Perpetuo Socorro",4522
"Picachito",87
"Picacho",843
"Piedra Gorda",1
"Piedras Blancas",107
"Piedras Blancas - Matasano",1
"Piedras Blancas Represa",5
"Popular",503
"Potrerito",5
"Prado",2210
"Robledo",4620
"Rosales",1617
"San Antonio",26
"San Benito",3703
"San Bernardo",1089
"San Diego",3101
"San German",719
"San Isidro",1125
"San Javier Nº 1",775
"San Javier Nº 2",314
"San Joaquin",717
"San Jose de la Montana",3
"San Jose La Cima Nº 1",38
"San Jose La Cima Nº 2",21
"San Lucas",208
"San Martin de Porres",670
"San Miguel",884
"San Pablo",390
"San Pedro",1015
"Santa Cruz",340
"Santa Fe",3700
"Santa Ines",597
"Santa Lucia",270
"Santa Margarita",254
"Santa Maria de los angeles",1051
"Santa Maria de Los angeles",1
"Santa Monica",425
"Santa Rosa de Lima",27
"Santa Teresita",306
"Santander",578
"Santo Domingo Savio Nº 1",555
"Santo Domingo Savio Nº 2",181
"Sevilla",1372
"Simon Bolivar",462
"Sin Nombre",5
"SUBURB El Plan",7
"Suburbano Altavista",94
"Suburbano Chacaltaya",7
"Suburbano El Llano",30
"Suburbano El Plan",310
"Suburbano el Tesoro",23
"Suburbano La Loma",252
"Suburbano Mirador del Poblado",66
"Suburbano Palma Patio",29
"Suburbano Palmitas",10
"Suburbano Pedregal alto",25
"Suburbano Potrerito",1
"Suburbano Travesias",88
"Sucre",753
"Suramericana",1807
"Tejelo",780
"Tenche",1110
"Toscana",942
"Travesias",1
"Trece de Noviembre",60
"Tricentenario",1058
"Trinidad",1168
"Veinte de Julio",380
"Versalles Nº 1",554
