"BARRIO","GRAVEDAD","CONTEO"
"","Herido",92
"","Solo danos",172
"0","Herido",1
"0","Solo danos",3
"6001","Herido",31
"6001","Muerto",1
"6001","Solo danos",11
"7001","Herido",13
"7001","Solo danos",5
"9004","Herido",1
"9004","Solo danos",1
"9086","Herido",2
"Aguas Frias","Herido",67
"Aguas Frias","Solo danos",25
"Aldea Pablo VI","Herido",68
"Aldea Pablo VI","Muerto",2
"Aldea Pablo VI","Solo danos",18
"Alejandria","Herido",153
"Alejandria","Muerto",1
"Alejandria","Solo danos",399
"Alejandro Echavarria","Herido",654
"Alejandro Echavarria","Muerto",3
"Alejandro Echavarria","Solo danos",269
"Alfonso Lopez","Herido",829
"Alfonso Lopez","Muerto",7
"Alfonso Lopez","Solo danos",397
"Altamira","Herido",523
"Altamira","Muerto",2
"Altamira","Solo danos",295
"Altavista","Herido",220
"Altavista","Muerto",3
"Altavista","Solo danos",146
"Altavista Sector Central","Herido",95
"Altavista Sector Central","Muerto",5
"Altavista Sector Central","Solo danos",24
"Altos del Poblado","Herido",135
"Altos del Poblado","Solo danos",147
"Andalucia","Herido",172
"Andalucia","Muerto",6
"Andalucia","Solo danos",84
"Antonio Narino","Herido",199
"Antonio Narino","Muerto",1
"Antonio Narino","Solo danos",56
"Aranjuez","Herido",1139
"Aranjuez","Muerto",12
"Aranjuez","Solo danos",828
"Area De Expansion Altavista","Herido",43
"Area De Expansion Altavista","Solo danos",9
"area de Expansion Altos de Calasanz","Herido",54
"area de Expansion Altos de Calasanz","Muerto",1
"area de Expansion Altos de Calasanz","Solo danos",57
"Area De Expansion Belen Rincon","Herido",7
"Area De Expansion Belen Rincon","Solo danos",7
"area de Expansion Pajarito","Herido",620
"area de Expansion Pajarito","Muerto",9
"area de Expansion Pajarito","Solo danos",199
"area de Expansion San Antonio de Prado","Herido",44
"area de Expansion San Antonio de Prado","Muerto",2
"area de Expansion San Antonio de Prado","Solo danos",18
"Asomadera Nº 1","Herido",195
"Asomadera Nº 1","Muerto",4
"Asomadera Nº 1","Solo danos",287
"Asomadera Nº 2","Herido",194
"Asomadera Nº 2","Muerto",1
"Asomadera Nº 2","Solo danos",352
"Asomadera Nº 3","Herido",65
"Asomadera Nº 3","Muerto",1
"Asomadera Nº 3","Solo danos",86
"Astorga","Herido",106
"Astorga","Solo danos",204
"AUC1","Herido",14
"AUC1","Muerto",1
"AUC1","Solo danos",2
"AUC2","Herido",1
"AUC2","Solo danos",1
"Aures Nº 1","Herido",402
"Aures Nº 1","Muerto",3
"Aures Nº 1","Solo danos",109
"Aures Nº 2","Herido",516
"Aures Nº 2","Muerto",2
"Aures Nº 2","Solo danos",126
"Barrio Colombia","Herido",567
"Barrio Colombia","Muerto",7
