"BARRIO","PERIODO","TOTAL"
"",2014,47
"",2015,53
"",2016,64
"",2017,57
"",2018,29
"",2019,14
"0",2018,2
"0",2019,2
"6001",2014,9
"6001",2015,10
"6001",2016,5
"6001",2017,7
"6001",2018,8
"6001",2019,4
"7001",2018,11
"7001",2019,7
"9004",2018,2
"9086",2017,2
"Aguas Frias",2014,25
"Aguas Frias",2015,19
"Aguas Frias",2016,20
"Aguas Frias",2017,14
"Aguas Frias",2018,7
"Aguas Frias",2019,7
"Aldea Pablo VI",2014,17
"Aldea Pablo VI",2015,15
"Aldea Pablo VI",2016,20
"Aldea Pablo VI",2017,11
"Aldea Pablo VI",2018,20
"Aldea Pablo VI",2019,5
"Alejandria",2014,78
"Alejandria",2015,64
"Alejandria",2016,105
"Alejandria",2017,123
"Alejandria",2018,129
"Alejandria",2019,54
"Alejandro Echavarria",2014,159
"Alejandro Echavarria",2015,145
"Alejandro Echavarria",2016,187
"Alejandro Echavarria",2017,181
"Alejandro Echavarria",2018,169
"Alejandro Echavarria",2019,85
"Alfonso Lopez",2014,234
"Alfonso Lopez",2015,244
"Alfonso Lopez",2016,289
"Alfonso Lopez",2017,196
"Alfonso Lopez",2018,186
"Alfonso Lopez",2019,84
"Altamira",2014,216
"Altamira",2015,162
"Altamira",2016,137
"Altamira",2017,142
"Altamira",2018,119
"Altamira",2019,44
"Altavista",2014,78
"Altavista",2015,77
"Altavista",2016,82
"Altavista",2017,64
"Altavista",2018,53
"Altavista",2019,15
"Altavista Sector Central",2014,23
"Altavista Sector Central",2015,30
"Altavista Sector Central",2016,30
"Altavista Sector Central",2017,30
"Altavista Sector Central",2018,11
"Altos del Poblado",2014,49
"Altos del Poblado",2015,54
"Altos del Poblado",2016,80
"Altos del Poblado",2017,41
"Altos del Poblado",2018,42
"Altos del Poblado",2019,16
"Andalucia",2014,49
"Andalucia",2015,47
"Andalucia",2016,52
"Andalucia",2017,52
"Andalucia",2018,43
"Andalucia",2019,19
"Antonio Narino",2014,53
"Antonio Narino",2015,54
"Antonio Narino",2016,50
"Antonio Narino",2017,55
"Antonio Narino",2018,29
"Antonio Narino",2019,15
"Aranjuez",2014,367
"Aranjuez",2015,369
"Aranjuez",2016,352
"Aranjuez",2017,404
"Aranjuez",2018,340
"Aranjuez",2019,147
"Area De Expansion Altavista",2014,13
"Area De Expansion Altavista",2015,13
"Area De Expansion Altavista",2016,12
"Area De Expansion Altavista",2017,6
"Area De Expansion Altavista",2018,3
"Area De Expansion Altavista",2019,5
"area de Expansion Altos de Calasanz",2014,12
"area de Expansion Altos de Calasanz",2015,19
"area de Expansion Altos de Calasanz",2016,18
"area de Expansion Altos de Calasanz",2017,30
"area de Expansion Altos de Calasanz",2018,24
"area de Expansion Altos de Calasanz",2019,9
"Area De Expansion Belen Rincon",2014,2
"Area De Expansion Belen Rincon",2015,2
